user_id,amount,merchant_category,hour_of_day,is_international,avg_user_spend,is_fraud
1414,258.7630258656821,Grocery,20,0,72.87,0
1332,305.15149333934306,Luxury,7,0,47.29,0
1148,1489.5565350651702,Pharmacy,16,1,43.56,1
1464,3478.187461580839,Luxury,10,0,66.84,1
1021,274.3468167707155,Pharmacy,9,0,21.68,0
1447,28.093018110043417,Travel,10,0,28.49,0
1274,24.326840096249175,Restaurant,1,0,80.07,0
1306,101.58314841813772,Restaurant,20,1,58.67,0
1446,415.239994772411,Gas,11,0,49.78,0
1115,75.17115202694985,Pharmacy,1,0,81.46,0
1056,488.3457133685651,Restaurant,3,0,68.94,0
1201,67.72617878825457,Luxury,10,0,36.58,0
1133,283.04816945384505,Pharmacy,23,0,82.4,0
1305,144.16217536928988,Restaurant,2,0,34.73,0
1402,240.09142370321234,Electronics,17,0,71.63,0
1361,156.14850539406524,Gas,13,0,35.48,0
1002,26.551570216172642,Luxury,8,0,69.46,0
1364,3835.4767256991945,Luxury,4,0,90.68,1
1357,492.53699470279827,Pharmacy,3,0,83.07,0
1080,296.3734732296413,Luxury,18,0,72.11,0
1294,448.3292074158004,Electronics,7,0,45.42,0
1209,338.3736956041585,Luxury,17,1,93.42,0
1406,25.19475769437303,Travel,17,0,26.45,0
1290,12.386075424734518,Grocery,20,0,85.62,0
1368,816.8876430321397,Luxury,1,1,25.33,1
1102,52.81397212169736,Luxury,16,0,40.76,0
1365,367.4627187770281,Electronics,8,1,22.97,0
1333,367.8123330792249,Gas,21,0,94.54,0
1093,173.38606690424368,Restaurant,6,0,60.82,0
1366,288.1696994468845,Electronics,13,1,67.39,0
1105,24.90102494790048,Restaurant,13,0,28.09,0
1442,381.72272548573966,Electronics,9,0,21.22,0
1202,17.861374133779893,Gas,18,0,96.34,0
1164,247.95810834406748,Luxury,10,0,67.67,0
1314,264.1438969760719,Gas,7,0,61.88,0
1363,131.21542529649565,Restaurant,18,0,25.32,0
1238,613.0441063734208,Luxury,8,0,56.35,1
1142,359.34177811514655,Luxury,20,0,37.58,0
1265,217.90201565201497,Electronics,1,0,98.33,0
1080,350.4095859778651,Pharmacy,19,1,63.16,0
1160,205.2460197001935,Grocery,13,0,34.65,0
1482,139.0764259620496,Electronics,11,0,73.06,0
1093,397.38364623720145,Restaurant,12,0,21.99,0
1264,93.71287524896248,Travel,2,0,66.44,0
1498,89.1130437147493,Grocery,15,1,71.24,0
1428,357.05605263174544,Electronics,23,0,38.69,0
1344,371.312489202533,Gas,13,0,60.51,0
1376,431.9078913507981,Gas,20,0,36.78,0
1141,178.69189539154982,Travel,1,0,72.17,0
1231,20.200664942061813,Restaurant,13,0,58.24,0
1451,219.06297392851025,Luxury,22,0,60.21,0
1089,113.7190059950784,Travel,1,0,50.94,0
1461,26.84746115395375,Grocery,1,0,77.99,0
1362,172.02235826292187,Electronics,0,0,53.0,0
1025,379.95750666984446,Electronics,21,0,49.67,0
1293,98.78221270865738,Pharmacy,5,0,30.63,0
1486,431.4479658485626,Restaurant,19,0,55.31,0
1081,106.57337245489525,Pharmacy,21,0,44.13,0
